codigo,descricao,grupo,total_movimento,data_baixa,estoque_minimo,tempo_reposicao,ano,mes
1385,CX PAP PARDA KRAFT REF 8114/ 8115,EMBALAGEM,24,2024-04-09 00:00:00.000,180,7,2024,4
2960,CONJ SOQ 26 CM PARAL PR S/ CHAPINHA,MONTADOS,24,2024-04-09 00:00:00.000,600,7,2024,4
7721,TRAVESSA INJ DUPLA 2 PARAF M4,MONTADOS,24,2024-04-09 00:00:00.000,1785,12,2024,4
8168,LENTE SEXTAVADA CRISTAL,INJETADOS,144,2024-04-09 00:00:00.000,3000,12,2024,4
9287,PORCA PASSANTE PRETA INJETADA,INJETADOS,48,2024-04-09 00:00:00.000,4500,12,2024,4
9797,COPO ARANDELA INJETADO PRETO COM FURO,INJETADOS,24,2024-04-09 00:00:00.000,435,7,2024,4
569,TRAVESSA INJ PR,INJETADOS,6,2024-02-28 00:00:00.000,2000,12,2024,2
625,"PARAF AA CAB PAN PHIL 3,5X13 ZB",FIXAÇÃO,12,2024-02-28 00:00:00.000,10453,30,2024,2
1712,DISCO PEQ 2 FURO AL PR LISO,PINTURA,6,2024-02-28 00:00:00.000,30,1,2024,2
5218,CARTELA CLICK PADRAO DUPLEX 300GR VERNIZ,EMBALAGEM,6,2024-02-28 00:00:00.000,3000,7,2024,2
6064,COPO AL LINHA VISION PRETO LISO F 10MM,PINTURA,6,2024-02-28 00:00:00.000,40,1,2024,2
6435,CX MASTER REF 8265-8268-8422/3,EMBALAGEM,"0,972",2024-02-28 00:00:00.000,55,10,2024,2
636,CABO 40 CM PARAL BR,ELÉTRICO,24,2025-08-27 00:00:00.000,226,15,2025,8
7035,CHAPEU PEND. INJ BRANCO 8335 ASPEN,INJETADOS,24,2025-08-27 00:00:00.000,250,12,2025,8
10839,SOQUETE ROSCA E27 INJETADO CONTATO AUTOM,ELÉTRICO,24,2025-08-27 00:00:00.000,3000,3,2025,8
2527,CABECA AL PINT 122 PR LISO,PINTURA,4,2024-09-06 00:00:00.000,40,1,2024,9
2573,"BASE ALUMINIO 1""1/2X580MM PRETA",PINTURA,4,2024-09-06 00:00:00.000,50,1,2024,9
2583,"TUBO AL 1""1/2 X 580MM EST PR LISO",PINTURA,4,2024-09-06 00:00:00.000,50,1,2024,9
2738,"SACO LISO PE 88X80X0,025",EMBALAGEM,4,2024-09-06 00:00:00.000,30,2,2024,9
10512,TUBO 3/8 X 160MM ROSCA M10  1L  X 4MM,ELABORAÇÃO AX(2),10,2024-10-24 00:00:00.000,100,10,2024,10
625,"PARAF AA CAB PAN PHIL 3,5X13 ZB",FIXAÇÃO,48,2025-08-27 00:00:00.000,10453,30,2025,8
625,"PARAF AA CAB PAN PHIL 3,5X13 ZB",FIXAÇÃO,16,2024-09-06 00:00:00.000,10453,30,2024,9
627,"PARAF AA CAB PAN PHIL 3,5X9,5 ZB",FIXAÇÃO,16,2024-09-06 00:00:00.000,230,2,2024,9
849,"PONTEIRA INTERNA PR 1""",INJETADOS,8,2024-09-06 00:00:00.000,500,7,2024,9
851,PONTEIRA INTERNA PR 1.1/ 2,INJETADOS,4,2024-09-06 00:00:00.000,50,15,2024,9
955,CONJ SOQ 90 CM PARALELO PR,MONTADOS,8,2024-09-06 00:00:00.000,200,7,2024,9
2253,"FILME LISO PE 12X0,10 TUBULAR",EMBALAGEM,"0,0668",2024-09-06 00:00:00.000,0,2,2024,9
9797,COPO ARANDELA INJETADO PRETO COM FURO,INJETADOS,36,2024-08-19 00:00:00.000,435,7,2024,8
506,"PARAF AA CAB PAN PHIL 2,9X9,5 ZB",FIXAÇÃO,16,2024-09-06 00:00:00.000,3000,3,2024,9
516,LENTE SEXTAVADA C/TEXTURA,INJETADOS,48,2024-09-06 00:00:00.000,2500,12,2024,9
583,BOLA SEXTAVADA S/FURO PRETA,INJETADOS,8,2024-09-06 00:00:00.000,800,12,2024,9
587,CHAPEU INJ P/ LANTER SEX PR,INJETADOS,8,2024-09-06 00:00:00.000,700,12,2024,9
589,QUADRO INJ P/LANTER SEX PR,INJETADOS,8,2024-09-06 00:00:00.000,700,12,2024,9
1030,CX MASTER 604x362x383 REF:8114/ 8115,EMBALAGEM,"6,12",2024-08-19 00:00:00.000,30,7,2024,8
1385,CX PAP PARDA KRAFT REF 8114/ 8115,EMBALAGEM,36,2024-08-19 00:00:00.000,180,7,2024,8
2960,CONJ SOQ 26 CM PARAL PR S/ CHAPINHA,MONTADOS,36,2024-08-19 00:00:00.000,600,7,2024,8
7721,TRAVESSA INJ DUPLA 2 PARAF M4,MONTADOS,36,2024-08-19 00:00:00.000,1785,12,2024,8
8168,LENTE SEXTAVADA CRISTAL,INJETADOS,216,2024-08-19 00:00:00.000,3000,12,2024,8
9287,PORCA PASSANTE PRETA INJETADA,INJETADOS,72,2024-08-19 00:00:00.000,4500,12,2024,8
506,"PARAF AA CAB PAN PHIL 2,9X9,5 ZB",FIXAÇÃO,72,2024-08-19 00:00:00.000,3000,3,2024,8
583,BOLA SEXTAVADA S/FURO PRETA,INJETADOS,36,2024-08-19 00:00:00.000,800,12,2024,8
585,BRACO INJ ARANDE SEX PR,INJETADOS,36,2024-08-19 00:00:00.000,525,12,2024,8
587,CHAPEU INJ P/ LANTER SEX PR,INJETADOS,36,2024-08-19 00:00:00.000,700,12,2024,8
589,QUADRO INJ P/LANTER SEX PR,INJETADOS,36,2024-08-19 00:00:00.000,700,12,2024,8
626,"PARAF AA CAB PAN PHIL 3,5X16 ZB",FIXAÇÃO,72,2024-08-19 00:00:00.000,4000,2,2024,8
7430,"ARRUELA ACO DENTADA INT 10X18X0,9 ZB",FIXAÇÃO,6,2024-02-28 00:00:00.000,365,3,2024,2
7437,PORCA ACO FOGAO M10 X 3 MM ZB,FIXAÇÃO,6,2024-02-28 00:00:00.000,200,3,2024,2
10157,PORCA AL USINA 1/2ROSCA INT M10 PRETO,PINTURA,6,2024-02-28 00:00:00.000,0,1,2024,2
10163,TUBO 280MM DOBRA HOR 145X285 PRETO,PINTURA,6,2024-02-28 00:00:00.000,0,10,2024,2
10348,SUPORTE SOQUE ROSCA M10 X 1/8 COD CP1836,ELABORAÇÃO AX(1),6,2024-02-28 00:00:00.000,200,5,2024,2
10572,CONJ SOQ 45 CM PARAL PR TARJ,MONTADOS,6,2024-02-28 00:00:00.000,60,7,2024,2
506,"PARAF AA CAB PAN PHIL 2,9X9,5 ZB",FIXAÇÃO,36,2025-07-09 00:00:00.000,3000,3,2025,7
583,BOLA SEXTAVADA S/FURO PRETA,INJETADOS,18,2025-07-09 00:00:00.000,800,12,2025,7
587,CHAPEU INJ P/ LANTER SEX PR,INJETADOS,18,2025-07-09 00:00:00.000,700,12,2025,7
589,QUADRO INJ P/LANTER SEX PR,INJETADOS,18,2025-07-09 00:00:00.000,700,12,2025,7
625,"PARAF AA CAB PAN PHIL 3,5X13 ZB",FIXAÇÃO,72,2025-07-09 00:00:00.000,10453,30,2025,7
789,CX PAP  KRAFT REF: 8120,EMBALAGEM,18,2025-07-09 00:00:00.000,30,7,2025,7
955,CONJ SOQ 90 CM PARALELO PR,MONTADOS,18,2025-07-09 00:00:00.000,200,7,2025,7
2546,CABECA AL PINT 120 PR LISO,PINTURA,18,2025-07-09 00:00:00.000,25,1,2025,7
2573,"BASE ALUMINIO 1""1/2X580MM PRETA",PINTURA,18,2025-07-09 00:00:00.000,50,1,2025,7
2583,"TUBO AL 1""1/2 X 580MM EST PR LISO",PINTURA,18,2025-07-09 00:00:00.000,50,1,2025,7
8168,LENTE SEXTAVADA CRISTAL,INJETADOS,108,2025-07-09 00:00:00.000,3000,12,2025,7
9797,COPO ARANDELA INJETADO PRETO COM FURO,INJETADOS,18,2025-07-09 00:00:00.000,435,7,2025,7
510,COPO INJ ELETRON PR,INJETADOS,100,2024-04-24 00:00:00.000,283,17,2024,4
514,SOQUETE PORCELANA E27 FX11 CONICO,ELÉTRICO,100,2024-04-24 00:00:00.000,0,5,2024,4
551,ELE INJ GRANDE NOVO P/ SOQUETE,INJETADOS,100,2024-04-24 00:00:00.000,150,17,2024,4
